n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
118	1737.927	158.0199	1329	2289	1450	1500	1542	1598	1643	1691	1731	1769	1814	1872	1949	1999	2039
119	1772.602	159.8023	1339	2320	1460	1511	1560	1635	1686	1729	1773	1815	1854	1906	1983	2044	2083
120	1793.269	165.6021	1376	2357	1503	1548	1591	1654	1698	1733	1778	1823	1865	1931	2012	2092	2149
121	1822.485	165.6879	1436	2381	1521	1581	1615	1678	1728	1772	1806	1852	1898	1957	2044	2128	2173
122	1838.779	165.5078	1390	2494	1522	1581	1630	1695	1747	1791	1825	1873	1923	1978	2046	2116	2160
123	1859.835	167.4573	1391	2473	1541	1610	1656	1713	1762	1807	1851	1893	1940	1999	2078	2151	2206
124	1897.557	174.3173	1489	2475	1580	1624	1687	1746	1802	1841	1882	1927	1981	2034	2123	2208	2278
125	1931.584	172.1521	1448	2544	1610	1672	1719	1784	1833	1874	1916	1968	2018	2088	2156	2215	2279
126	1953.844	173.2109	1422	2488	1618	1686	1737	1803	1859	1905	1951	1992	2040	2095	2168	2256	2319
127	1968.719	177.7994	1495	2690	1632	1697	1749	1819	1872	1910	1957	2001	2053	2113	2194	2275	2320
128	1993.167	182.1233	1467	2684	1668	1713	1761	1833	1891	1938	1986	2031	2079	2144	2230	2305	2366
129	2017.538	185.2592	1553	2688	1680	1733	1791	1861	1910	1960	2007	2052	2104	2162	2263	2338	2409
130	2036.454	184.4619	1546	2761	1702	1752	1806	1883	1934	1981	2029	2068	2123	2177	2277	2361	2399
131	2078.085	193.7604	1569	2777	1722	1784	1841	1911	1973	2021	2061	2104	2168	2250	2333	2399	2458
132	2100.16	194.2937	1631	2784	1740	1801	1854	1931	1991	2044	2088	2135	2192	2256	2350	2446	2497
133	2121.108	187.3088	1616	2777	1765	1830	1885	1957	2019	2062	2111	2156	2211	2282	2361	2439	2484
134	2153.767	191.0328	1669	2757	1803	1856	1921	1991	2045	2093	2135	2190	2237	2314	2411	2487	2548
135	2170.284	202.11	1584	3004	1781	1850	1916	2005	2063	2116	2160	2211	2265	2323	2428	2521	2565
136	2201.068	201.1127	1626	2843	1832	1907	1956	2023	2086	2135	2180	2240	2298	2358	2469	2572	2638
137	2225.068	202.7370	1635	2866	1845	1908	1972	2045	2116	2161	2215	2271	2327	2396	2476	2582	2640
138	2267.63	209.5583	1660	2874	1880	1948	2011	2077	2141	2205	2261	2308	2375	2455	2557	2639	2681
139	2279.926	208.4425	1766	3175	1917	1964	2017	2099	2162	2210	2273	2315	2379	2466	2558	2642	2681
140	2312.609	212.8714	1755	3056	1914	1982	2054	2128	2191	2242	2298	2348	2413	2486	2594	2691	2746
141	2332.589	205.1965	1755	3075	1946	2014	2077	2152	2221	2275	2326	2380	2427	2500	2591	2690	2761
142	2362.214	212.1977	1868	3236	1967	2040	2101	2193	2241	2290	2338	2400	2463	2527	2655	2738	2789
143	2374.973	212.6372	1788	3244	1981	2059	2104	2186	2250	2311	2367	2419	2481	2548	2653	2739	2791
144	2408.653	222.9754	1887	3136	1997	2059	2134	2223	2287	2335	2387	2446	2513	2591	2707	2815	2864
145	2446.256	216.4072	1874	3105	2021	2112	2178	2259	2321	2371	2433	2491	2551	2633	2737	2819	2880
146	2463.905	221.1074	1909	3363	2060	2128	2181	2273	2327	2389	2450	2512	2572	2647	2763	2848	2915
147	2500.715	225.4300	1850	3455	2089	2169	2221	2300	2366	2432	2484	2546	2612	2692	2788	2880	2946
148	2528.82	234.9313	1898	3475	2069	2168	2245	2333	2401	2452	2510	2570	2637	2709	2840	2938	3026
149	2548.691	244.4147	1912	3537	2119	2182	2247	2339	2406	2469	2536	2594	2659	2732	2887	2973	3050
150	2587.118	235.5265	1989	3408	2158	2235	2298	2385	2446	2507	2571	2632	2699	2778	2903	3005	3084
151	2610.328	234.5237	2038	3496	2178	2255	2321	2403	2467	2533	2596	2660	2718	2808	2929	3022	3086
152	2642.317	247.7143	2013	3592	2164	2256	2340	2430	2504	2572	2629	2698	2763	2834	2963	3062	3155
153	2667.767	245.6193	2086	3677	2209	2288	2371	2472	2533	2591	2648	2708	2777	2857	2992	3112	3181
154	2710.945	247.4306	2076	3608	2254	2339	2405	2499	2562	2621	2694	2761	2831	2925	3037	3142	3202
155	2722.386	256.2917	2129	3757	2269	2342	2407	2500	2576	2631	2700	2771	2839	2932	3072	3175	3235
156	2747.606	245.8328	2100	3563	2284	2361	2436	2545	2617	2675	2731	2785	2864	2946	3077	3177	3236
157	2780.992	256.2311	2093	3647	2296	2399	2467	2556	2632	2695	2761	2831	2895	2993	3144	3223	3294
158	2809.998	258.6223	2149	3727	2316	2404	2503	2593	2660	2719	2785	2874	2939	3015	3143	3262	3355
159	2839.193	256.3072	2281	3804	2364	2440	2521	2617	2692	2762	2822	2888	2958	3053	3177	3283	3345
160	2869.82	250.3939	2143	3751	2396	2467	2551	2651	2731	2796	2860	2931	2999	3085	3188	3274	3373
161	2900.056	263.9442	2228	3932	2404	2504	2569	2670	2753	2826	2885	2942	3017	3106	3243	3360	3475
162	2919.049	260.8669	2257	3932	2434	2519	2586	2689	2765	2847	2909	2978	3049	3126	3279	3371	3424
163	2944.921	268.7458	2287	3933	2457	2521	2621	2714	2790	2858	2928	2995	3069	3163	3296	3417	3508
164	2978.575	279.2624	2231	3954	2432	2559	2627	2730	2823	2903	2969	3040	3121	3206	3362	3450	3553
165	3011.178	267.9533	2277	4035	2503	2588	2682	2794	2861	2926	2994	3068	3131	3226	3367	3483	3564
166	3029.77	270.7893	2351	4021	2538	2603	2697	2802	2871	2940	3015	3078	3164	3253	3395	3500	3579
167	3071.857	276.9094	2253	4068	2542	2650	2732	2838	2913	2989	3059	3129	3208	3298	3421	3562	3627
168	3088.487	280.7051	2271	4100	2560	2650	2742	2851	2931	2997	3069	3150	3234	3322	3454	3579	3670
169	3121.378	284.3985	2359	4185	2586	2692	2780	2873	2962	3032	3105	3175	3256	3343	3488	3625	3722
170	3146.62	286.4854	2318	4105	2620	2697	2797	2897	2988	3063	3133	3199	3286	3384	3519	3660	3721
171	3207.973	294.9827	2464	4433	2671	2766	2851	2958	3036	3110	3180	3256	3351	3445	3600	3715	3804
172	3230.862	296.5274	2484	4352	2700	2777	2864	2972	3065	3135	3222	3288	3369	3480	3632	3742	3815
173	3268.289	295.068	2397	4553	2728	2828	2909	3019	3083	3181	3251	3332	3400	3509	3659	3771	3863
174	3268.423	299.9278	2400	4477	2711	2821	2902	3008	3096	3162	3242	3330	3417	3526	3678	3779	3848
175	3311.68	292.4038	2489	4384	2758	2872	2962	3060	3145	3225	3292	3355	3447	3555	3708	3819	3894
176	3345.15	318.4418	2438	4571	2759	2862	2951	3073	3158	3249	3326	3404	3491	3605	3774	3910	3983
177	3369.819	299.9274	2562	4343	2831	2898	2981	3120	3198	3272	3357	3429	3507	3633	3773	3872	3954
178	3403.42	314.4758	2566	4658	2833	2921	3027	3143	3222	3298	3381	3459	3539	3656	3834	3951	4014
179	3446.818	314.1199	2592	4848	2887	2968	3071	3171	3262	3351	3425	3490	3594	3704	3883	4006	4069
180	3471.381	317.5396	2703	4737	2910	2987	3091	3194	3283	3365	3450	3532	3626	3741	3892	4036	4090
181	3502.8	316.5998	2682	4717	2895	3020	3103	3233	3324	3404	3481	3562	3650	3773	3925	4054	4139
182	3522.523	326.518	2637	4923	2925	3030	3108	3246	3349	3423	3495	3572	3663	3791	3956	4084	4194
183	3574.865	320.672	2770	4716	2964	3083	3170	3306	3396	3479	3553	3640	3720	3839	3995	4137	4248
184	3589.851	331.0689	2539	5101	2984	3075	3184	3297	3399	3487	3572	3659	3750	3859	4007	4166	4259
185	3629.915	317.6716	2731	4743	3004	3128	3223	3355	3458	3540	3615	3698	3781	3889	4022	4190	4275
186	3645.461	331.8576	2731	5136	3062	3121	3229	3374	3457	3547	3628	3701	3789	3907	4075	4245	4327
187	3698.435	338.5311	2842	5078	3073	3182	3289	3409	3510	3597	3673	3756	3854	3971	4153	4293	4389
188	3732.86	333.7821	2906	5118	3108	3206	3337	3454	3543	3636	3705	3781	3894	4015	4172	4329	4407
189	3745.499	334.4253	2936	4999	3141	3252	3328	3455	3545	3632	3714	3807	3912	4024	4197	4326	4415
190	3793.724	340.5528	2894	5179	3137	3312	3386	3502	3601	3679	3776	3858	3934	4058	4236	4412	4479
191	3805.448	362.0088	2846	5509	3144	3263	3387	3505	3595	3679	3775	3859	3960	4098	4282	4448	4553
192	3844.375	348.6541	2890	5114	3191	3282	3419	3538	3644	3743	3835	3909	4017	4130	4309	4416	4543
193	3899.351	357.4908	3003	5328	3229	3356	3481	3599	3686	3791	3879	3959	4070	4178	4362	4534	4625
194	3889.386	368.8869	2888	5184	3236	3328	3426	3574	3689	3769	3862	3950	4040	4158	4356	4582	4666
195	3948.246	337.7426	3120	5046	3321	3411	3532	3650	3745	3836	3933	4027	4125	4221	4408	4514	4620
196	3964.558	366.1645	2992	5392	3316	3404	3509	3634	3755	3851	3936	4032	4136	4280	4456	4602	4703
197	4000.333	366.7663	3115	5445	3303	3409	3536	3690	3790	3887	3984	4076	4184	4310	4468	4601	4724
198	4039.658	379.083	2957	5502	3328	3436	3571	3715	3836	3931	4008	4106	4211	4358	4546	4699	4789
199	4047.344	378.9122	3041	5665	3331	3449	3567	3723	3849	3938	4032	4126	4223	4358	4545	4695	4776
200	4122.517	375.8353	2891	5538	3410	3551	3665	3811	3904	3997	4098	4198	4297	4425	4642	4765	4871
201	4133.523	380.7064	3047	5455	3435	3539	3670	3816	3920	4015	4102	4192	4295	4428	4639	4820	4909
202	4163.374	370.768	3219	5468	3498	3570	3701	3854	3949	4047	4143	4237	4330	4447	4667	4819	4910
203	4209.839	395.483	3222	5717	3493	3626	3740	3877	3986	4098	4181	4257	4361	4518	4740	4972	5057
204	4237.045	402.0567	3160	5679	3510	3610	3728	3877	4004	4122	4223	4314	4420	4578	4774	4957	5039
205	4259.702	389.965	3184	5826	3547	3655	3797	3947	4033	4117	4230	4328	4435	4599	4768	4922	5038
206	4308.579	397.0427	3304	5947	3568	3703	3824	3968	4072	4178	4285	4382	4494	4635	4837	4989	5116
207	4341.156	406.4399	3268	5938	3615	3719	3839	3992	4116	4212	4306	4409	4512	4670	4895	5091	5196
208	4389.469	392.7340	3309	5953	3639	3744	3894	4044	4172	4277	4371	4472	4603	4725	4899	5070	5158
209	4409.813	404.3353	3210	5984	3633	3774	3917	4073	4179	4291	4386	4496	4612	4734	4924	5102	5233
210	4473.98	406.7116	3313	5826	3707	3852	3968	4120	4240	4347	4433	4556	4683	4823	5010	5176	5273
211	4466.191	395.3697	3425	5755	3689	3859	3976	4136	4254	4351	4441	4542	4650	4789	4982	5168	5293
212	4524.554	411.8756	3454	5944	3763	3912	4031	4183	4287	4391	4495	4586	4701	4836	5104	5291	5382
213	4555.756	426.9832	3445	6042	3761	3895	4025	4186	4310	4423	4522	4646	4766	4918	5136	5296	5421
214	4572.316	413.1739	3526	6154	3819	3930	4072	4217	4329	4445	4535	4651	4767	4933	5113	5251	5412
215	4638.469	437.6952	3504	6360	3847	3957	4071	4267	4393	4512	4621	4723	4856	4994	5200	5365	5576
216	4642.65	422.034	3498	5962	3867	3968	4107	4273	4388	4508	4613	4754	4867	5009	5187	5367	5505
217	4664.228	420.4851	3581	6461	3898	4049	4161	4303	4416	4535	4636	4737	4861	5001	5214	5402	5545
218	4722.556	447.0607	3619	6744	3908	4072	4194	4346	4474	4573	4689	4787	4904	5063	5314	5511	5658
219	4759.741	437.5543	3521	6112	3969	4094	4241	4375	4490	4613	4710	4844	4975	5120	5366	5520	5649
220	4790.257	445.9697	3699	6513	3961	4107	4235	4409	4538	4652	4753	4861	4992	5178	5396	5592	5705
221	4815.839	445.6241	3710	6128	3991	4129	4258	4422	4552	4678	4795	4898	5026	5190	5425	5596	5704
222	4853.492	457.7839	3621	6378	3980	4144	4306	4480	4586	4705	4819	4935	5071	5207	5501	5677	5784
223	4884.572	447.111	3805	6334	4046	4183	4304	4479	4628	4759	4860	4994	5119	5258	5468	5640	5755
