n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
54	255.421	62.93845	124.507	486.4124	151.4794	166.5383	181.3119	201.1741	213.979	230.7574	248.5518	267.1816	284.6963	306.5665	340.5319	368.9404	388.982
55	265.2544	64.55979	121.7744	515.1223	154.3243	172.479	187.4753	208.012	227.1101	243.3331	259.7518	274.6361	294.0034	317.3563	351.0997	376.8567	398.985
56	272.1267	65.44923	139.807	536.8054	160.5833	178.9302	193.4347	213.8528	231.0433	248.3687	265.1396	284.1584	301.7582	323.6572	357.8393	387.0788	406.8476
57	281.3924	68.44028	141.1666	547.6084	168.3924	183.9484	197.3854	218.4994	237.6447	257.2353	273.812	293.5098	313.2954	337.9822	375.5942	402.8101	418.3575
58	283.2977	70.03737	129.2556	644.3058	166.8652	183.9321	199.2486	220.4495	241.7581	258.2538	274.7963	295.4979	315.0619	341.3488	371.6208	400.175	430.4881
59	291.8439	70.72381	137.4882	615.4112	178.1516	193.0466	210.0881	229.4515	247.172	265.4016	280.8363	304.12	325.6133	349.2549	386.4104	422.2523	447.4796
60	300.8203	69.16103	147.8749	574.626	184.6402	202.0693	217.8394	239.4682	258.0097	275.1327	292.5628	309.131	332.2394	357.3052	395.8042	420.4973	435.2838
61	311.4094	79.23459	136.4551	670.8875	182.2608	199.1407	218.4743	241.783	262.2766	279.7553	301.2756	321.3378	346.1936	379.6209	418.2965	448.6669	473.9789
62	317.1048	81.55684	145.3238	699.7114	188.7247	203.5608	219.3992	244.1373	266.5371	287.7377	307.2605	331.8253	354.1426	380.6192	420.1535	458.0699	486.9446
63	325.7241	82.09772	162.4561	649.9277	195.9745	213.3589	233.8333	255.7538	273.6786	290.7886	313.1437	333.4307	359.3299	390.0923	436.5925	483.9494	508.8625
64	336.5345	83.59544	153.6978	790.7515	197.9015	216.0787	240.8153	268.7657	286.9599	303.3595	325.0354	346.5242	372.2499	399.3144	449.7777	486.4083	513.8083
65	342.7439	83.19952	176.7201	686.0634	206.388	224.096	244.0123	271.1568	291.5836	312.0192	332.8829	352.2286	379.8013	404.8419	454.1828	497.4616	534.073
66	353.7255	88.07142	186.4752	718.1163	220.7601	235.4761	252.4361	278.8243	300.4547	317.8412	337.7632	358.9708	389.7243	425.0588	474.2858	517.4862	543.139
67	359.0553	90.33144	158.0854	676.6018	220.9525	237.5437	253.1304	278.7275	301.3204	325.0354	344.4764	369.7743	401.4922	431.7592	479.072	531.9445	560.1536
68	365.6118	94.38965	181.0994	809.8994	212.2169	232.6779	257.4238	283.4431	309.3235	331.884	354.4982	376.6378	403.9047	440.5406	489.6877	532.6725	563.079
69	375.853	97.02177	169.2867	760.8515	217.8991	236.6897	264.2139	289.9862	316.0332	341.3488	364.874	389.3263	418.6084	449.6121	504.9406	555.0919	595.8716
70	377.8931	93.25417	179.9028	794.0334	223.7074	245.9675	268.412	299.3927	321.5571	341.8655	365.918	387.6351	416.0192	450.1144	505.8962	546.1062	581.9287
71	389.0734	96.93292	175.8465	877.444	227.7696	255.5386	277.8075	305.9101	327.8185	353.928	381.3384	403.5753	430.8828	461.9827	516.5385	558.7083	594.6007
72	400.4807	96.96102	192.1432	777.0946	237.7499	257.105	283.1219	316.7538	341.4616	364.9027	390.8759	415.2866	449.8466	479.605	527.8721	576.8492	607.5278
73	406.8809	99.40255	195.53	792.7124	238.4387	264.8282	287.802	322.4934	347.8089	372.9169	392.4271	418.1017	446.1076	489.7101	547.8248	590.1169	624.9088
