n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
119	182384.6	5728.575	163359	200281	168933	171810	174870	178115	179754	181340	182738	183917	185203	186853	188988	191801	193176
120	187247.7	6100.037	162058	206665	174546	177004	179863	182602	184416	185971	187375	188803	190079	191570	194389	197055	199282
121	191780	6125.355	163405	207809	177672	181025	183717	187056	189287	190848	192302	193535	194894	196476	198905	201408	202690
122	196733	6030.044	173926	218699	183569	186844	188924	192258	194097	195418	196839	198234	199742	201361	204005	206064	208111
123	201392.6	6457.12	174649	218942	186659	189442	193141	196771	198869	200481	201814	203050	204390	206383	209027	211023	212973
124	206631.1	6324.613	179970	225846	191180	195626	198863	201753	203975	205616	206955	208450	209827	211397	214177	216806	218072
125	211441.3	6555.559	190635	235374	196680	200020	203171	206372	208460	210236	211781	213012	214419	216131	219371	222075	223448
126	216885.4	6977.049	188536	240899	200113	205036	208134	211911	214052	215843	217315	218789	220271	222016	224947	227916	229561
127	222138.5	6977.073	196658	241711	207034	209806	212708	216493	219042	220805	222499	224037	225705	227741	230747	233220	235030
128	227822.7	6962.922	198467	248782	212006	216205	218966	222766	224709	226648	228107	229511	231163	232992	236362	238919	240976
129	232835	7586.123	195764	258162	216744	219692	223027	227015	229821	231543	233246	234693	236516	238534	241786	244882	246795
130	238362.8	7388.883	201933	261941	220926	225130	229361	233124	235279	237251	238713	240355	241865	243713	247416	249947	251394
131	243874.5	7798.525	213107	268031	225845	230046	234133	237798	240611	242750	244066	245852	247807	249845	252781	255791	258348
132	249617.3	7623.461	218643	275522	231136	236432	240021	243816	246116	248139	250047	251815	253522	255855	258829	260669	262440
133	255632.6	7923.147	230133	280419	237820	241716	244908	249228	252272	254260	256059	257790	259699	261776	265269	268576	270028
134	261108	8095.466	224469	292982	240830	247689	251126	254762	257650	259932	261594	263276	264988	267304	270629	274461	275531
135	267499.5	8595.053	236239	296636	246569	253031	256533	261068	263670	265740	267775	269636	271569	274500	277869	280723	283293
136	273809.4	8457.574	241890	301979	254971	259031	262814	267433	270524	272401	274199	275930	277877	279928	284192	287601	289286
137	279372	9016.445	235901	311389	257706	263284	267953	272903	276094	278216	279938	281735	283600	286015	289945	292724	295107
138	285599.8	8862.183	236937	312780	264378	270945	274743	278956	281771	284377	286314	288026	290038	292210	296067	299560	301310
139	292189.9	9378.476	252563	325313	269940	276936	280224	285030	288082	290535	292818	294421	296324	299297	303978	307525	309965
140	298100.2	9163.184	259799	327994	275750	282644	286856	291392	294490	296541	298531	300402	302175	304719	309422	313085	315729
141	305157.9	8867.622	276168	336372	284846	290183	293912	298278	301173	303599	305672	307320	309110	311572	316073	319680	321921
142	310746.4	9567.241	276117	340705	290338	294939	298367	303065	306451	308321	310862	313231	315609	318327	322701	326491	329124
143	318178.5	9723.4	274856	353139	297649	301385	305553	310827	313972	316438	318933	320858	322888	325653	329504	332808	335618
144	324537.1	9817.68	285253	351531	302429	307074	310764	316898	320595	323243	325537	327148	329383	332100	335869	340069	342313
145	331652.2	9447.45	299901	368577	311538	315284	319581	324359	327275	329277	331647	333834	336053	339130	343400	347484	349316
146	338393.6	9894.108	295999	370093	315114	320775	325552	331225	334571	337031	339179	340981	343547	345891	350340	353201	355654
147	345896.6	10132.12	306381	378423	320747	327176	333118	338405	341627	344462	346595	348637	350488	353444	358367	362169	364032
148	353288.7	10056.70	317878	392845	332635	336957	340179	345592	348478	351231	353403	355870	357804	360948	365744	369793	373279
149	360625.3	10654.57	323132	396440	334658	342297	347274	352621	355835	359009	361351	363044	365497	369065	373349	377525	379856
150	367855.2	10806.18	319449	414455	344388	349817	354071	359463	362991	365805	367907	370183	372969	375960	380950	385453	388347
151	375684.1	10673.39	336093	414603	354100	358593	361748	367103	371307	373631	375783	378146	380549	383918	388616	392735	396307
152	382275.4	10490.05	340502	415819	356913	363636	368498	374279	378221	380771	382813	384773	387307	390600	394981	398321	400791
153	390100.8	11290.93	349437	428298	365100	371582	375632	381309	385519	388155	390352	392801	395288	398568	404156	408824	411374
154	397913.4	11400.39	352331	427711	370867	378049	382864	389216	393145	396125	398437	400676	403360	407095	412437	416198	417819
155	405236.1	12089.89	354719	441282	376026	384068	390631	395811	400545	403441	405962	408484	410818	414175	419085	424984	427887
156	413151.7	11382.65	372421	449491	387083	391782	398386	404637	408333	411235	413674	416065	418837	421659	427131	431355	434410
157	422244.9	11749.23	373705	460604	397226	402539	407391	413169	416988	419762	422800	425078	428070	431416	436283	441435	444430
158	430447.7	12607.84	378746	469358	402878	409177	414259	420765	424697	428036	431097	433736	436711	440208	445293	450773	453704
159	438273.2	12329.10	381291	473361	410065	416879	422878	428501	432807	435441	438803	441652	444714	448453	452751	457796	461073
160	447346.4	12716.14	396482	488515	421100	426539	431701	437104	441124	444429	447355	450346	453474	456864	462453	468842	472081
161	455658.7	12859.68	406358	506412	427064	433049	439908	446189	450307	453449	456197	458673	461390	465383	471476	475898	479075
162	463442.4	12643.53	414811	499962	432786	441538	448157	453557	457771	461346	464132	467270	470017	473365	478306	483503	485647
163	471670.1	12811.70	429415	513333	443384	449206	455746	461108	465569	469181	472485	475157	478285	481190	487060	492639	495889
164	481285	12631.21	433294	524196	451597	459267	464984	472087	475774	479045	481973	485032	487692	490767	496118	501338	504800
165	490408.3	13418.23	433745	529678	458626	466131	473606	480344	484862	488506	491304	494080	496846	500383	506559	511406	514450
166	499351.3	13833.51	448682	547283	465503	474918	481258	489263	493988	497149	499892	502551	505681	509984	516348	521451	524808
167	508103.4	14064.97	445466	566602	475647	483319	489714	498046	502501	506091	509219	512000	514976	518764	524941	528907	531857
168	517966	13464.60	475628	560585	488167	495098	499820	507298	511467	515281	518708	521290	524666	528988	534930	539746	543106
169	527954.3	14061.94	468943	576726	494259	503296	510724	517608	522142	525404	528704	531461	534864	538984	545487	550059	552125
