n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
194	15419.19	554.0341	13353	16606	13907	14323	14634	14988	15212	15397	15535	15659	15746	15871	16032	16128	16194
195	15584.35	531.2932	13641	16674	14179	14558	14880	15194	15385	15535	15677	15790	15904	16023	16184	16280	16353
196	15790.68	530.4127	13766	17085	14406	14761	15041	15367	15595	15759	15890	16014	16122	16223	16368	16473	16551
197	15945.67	527.5933	13655	16915	14600	14894	15186	15569	15767	15926	16044	16151	16254	16385	16534	16625	16705
198	16128.7	519.9186	13922	17267	14756	15150	15413	15739	15947	16097	16212	16327	16438	16539	16707	16824	16882
199	16283.03	570.4794	14099	17468	14777	15162	15470	15864	16106	16268	16380	16505	16626	16750	16895	17021	17102
200	16396.75	588.5931	14265	17594	14875	15235	15588	15938	16184	16358	16486	16639	16767	16881	17047	17166	17220
201	16618.64	561.0619	14321	17941	15089	15616	15872	16186	16400	16578	16724	16844	16973	17095	17230	17326	17411
202	16783.95	569.6221	14539	18067	15309	15644	15953	16384	16592	16745	16887	17020	17124	17242	17415	17529	17587
203	16938.13	573.162	14800	18211	15351	15791	16141	16513	16745	16927	17069	17169	17282	17391	17540	17673	17713
204	17118.18	556.5652	14637	18275	15626	16039	16340	16725	16936	17102	17210	17327	17445	17569	17737	17843	17908
205	17283.71	587.2066	15102	18476	15731	16157	16467	16822	17078	17244	17382	17513	17652	17773	17943	18046	18137
206	17479.05	595.482	15226	18807	15808	16273	16680	17044	17259	17427	17591	17744	17855	17965	18104	18207	18273
207	17599.78	621.2602	15146	18988	15950	16281	16726	17171	17402	17580	17714	17852	17958	18098	18257	18403	18453
208	17825.81	605.5058	15341	19373	16180	16650	17008	17395	17641	17790	17926	18073	18183	18310	18497	18600	18649
209	17980.1	597.878	15531	19320	16458	16789	17116	17516	17738	17963	18110	18220	18334	18460	18628	18777	18855
210	18123.53	642.1166	15635	19375	16406	16855	17231	17645	17875	18087	18247	18392	18530	18645	18828	18923	19018
211	18324.73	622.6336	15991	19635	16676	17103	17466	17853	18110	18271	18430	18583	18710	18850	19001	19130	19230
212	18523.08	637.0596	16092	19936	16882	17279	17622	18033	18290	18477	18628	18769	18918	19059	19233	19361	19427
213	18710.91	606.3576	16149	20071	17090	17471	17865	18261	18518	18697	18843	18946	19053	19198	19350	19510	19569
214	18889.72	624.1756	16549	20307	17295	17660	18066	18391	18647	18841	19016	19143	19276	19406	19554	19718	19776
215	19073.08	643.9638	16466	20404	17332	17736	18195	18603	18864	19065	19192	19322	19435	19600	19787	19906	19980
216	19265.66	631.4853	16300	20740	17491	18023	18419	18834	19067	19236	19381	19501	19656	19784	19947	20075	20136
217	19378.52	722.8763	16803	20893	17343	17897	18390	18888	19153	19352	19539	19680	19831	19962	20134	20287	20386
218	19594.95	693.2931	16808	20879	17700	18175	18625	19100	19381	19575	19723	19867	20008	20167	20332	20487	20556
219	19767.22	732.0129	17136	21079	17759	18226	18766	19257	19511	19728	19918	20084	20228	20365	20554	20697	20778
220	19954.5	708.8002	17278	21307	18013	18559	18911	19395	19695	19922	20119	20260	20386	20528	20740	20860	20921
221	20152.58	660.8866	17615	21691	18320	18772	19293	19666	19930	20106	20263	20416	20553	20679	20877	21026	21092
222	20320.01	722.9712	17439	21787	18303	18865	19326	19804	20078	20305	20464	20612	20746	20911	21098	21230	21323
223	20531.88	695.3019	17738	21982	18560	19206	19610	19984	20294	20493	20661	20825	20961	21097	21266	21443	21543
224	20712.65	708.8504	17973	22058	18836	19253	19758	20224	20482	20692	20861	21016	21143	21271	21465	21608	21697
225	20867.59	729.9918	17981	22237	18830	19379	19851	20351	20627	20851	21013	21158	21295	21453	21643	21829	21894
226	21078.09	722.3496	18368	22560	19251	19672	20061	20494	20821	21019	21214	21379	21523	21695	21884	21995	22067
227	21259.94	705.5347	18316	22772	19458	19860	20303	20734	20995	21185	21385	21537	21691	21864	22031	22169	22211
228	21462.28	751.1287	18446	23099	19546	20048	20432	20855	21194	21399	21596	21784	21930	22084	22295	22429	22502
229	21632.53	721.0754	19041	23227	19902	20224	20612	21035	21330	21570	21767	21932	22108	22274	22444	22560	22663
230	21857.58	735.8705	19009	23492	19825	20418	20849	21317	21618	21801	22006	22167	22316	22456	22648	22796	22880
231	22039.63	768.7671	19224	23665	19983	20469	20904	21483	21791	22031	22234	22384	22510	22671	22839	22975	23074
232	22202.25	813.946	18927	23806	20147	20578	21028	21549	21928	22162	22388	22540	22706	22852	23091	23262	23364
