n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
116	1150.275	100.7188	976	1569	1011	1026	1046	1071	1088	1107	1126	1148	1175	1223	1289	1355	1400
117	1151.91	98.54844	984	1778	1015	1036	1056	1078	1095	1110	1130	1150	1175	1212	1288	1344	1383
118	1172.282	97.0215	985	1717	1032	1051	1068	1090	1112	1134	1153	1175	1207	1241	1300	1356	1393
119	1187.491	100.2048	994	1726	1047	1066	1083	1107	1127	1146	1169	1191	1220	1254	1317	1379	1435
120	1199.527	102.2135	1000	1790	1062	1077	1095	1120	1140	1157	1177	1198	1226	1265	1334	1408	1449
121	1212.973	105.4115	1015	1805	1068	1091	1108	1131	1147	1168	1193	1214	1243	1282	1340	1421	1469
122	1229.761	104.4846	1043	1695	1084	1100	1121	1144	1166	1185	1204	1234	1263	1306	1372	1433	1478
123	1241.895	101.852	1071	1715	1098	1114	1135	1159	1180	1201	1220	1245	1276	1313	1370	1438	1483
124	1250.901	104.4555	1074	1800	1109	1129	1145	1168	1187	1205	1228	1248	1276	1322	1395	1468	1501
125	1268.636	106.1124	1077	1845	1122	1142	1160	1184	1206	1226	1246	1268	1295	1335	1409	1495	1529
126	1283.766	109.6601	1100	1901	1129	1150	1171	1198	1219	1238	1260	1282	1310	1357	1431	1506	1545
127	1296.003	110.4605	1094	1872	1139	1162	1182	1208	1229	1251	1274	1297	1328	1373	1438	1527	1561
128	1303.69	103.5329	1104	1838	1160	1178	1197	1222	1243	1260	1280	1306	1332	1374	1445	1516	1544
129	1323.431	112.2568	1126	1892	1171	1192	1212	1239	1258	1277	1298	1322	1348	1393	1474	1548	1607
130	1335.913	109.6349	1138	1897	1181	1204	1223	1251	1272	1290	1314	1335	1366	1410	1474	1554	1608
131	1354.169	115.0812	1136	1918	1198	1215	1240	1264	1287	1309	1328	1350	1379	1423	1513	1592	1644
132	1364.165	113.8681	1168	2032	1213	1234	1251	1274	1291	1314	1339	1364	1395	1430	1515	1595	1650
133	1378.738	109.7202	1162	1899	1221	1246	1264	1294	1314	1335	1355	1378	1412	1446	1527	1593	1635
134	1397.666	117.8289	1199	1956	1237	1255	1277	1302	1329	1351	1376	1400	1429	1469	1550	1634	1704
135	1408.547	117.9821	1220	1979	1257	1274	1290	1315	1337	1359	1380	1404	1439	1487	1566	1652	1713
136	1417.046	115.3018	1193	2099	1262	1277	1297	1327	1348	1371	1395	1420	1452	1490	1565	1638	1686
137	1438.979	119.9359	1187	2036	1261	1289	1312	1344	1367	1392	1414	1439	1474	1528	1595	1669	1700
138	1455.894	124.7473	1206	2202	1286	1307	1330	1356	1380	1405	1429	1456	1489	1537	1624	1711	1757
139	1460.142	120.4144	1238	2132	1291	1316	1336	1367	1387	1408	1434	1463	1493	1542	1613	1697	1746
