n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
169	3462.045	406.6984	2263	5348	2772	2873	2986	3136	3224	3323	3412	3521	3620	3767	4015	4204	4358
170	3487.411	403.9303	2514	5208	2757	2881	3019	3162	3257	3351	3434	3538	3660	3802	4011	4226	4349
171	3512.832	402.3174	2505	5396	2795	2934	3057	3173	3266	3381	3478	3565	3671	3839	4027	4224	4357
172	3558.188	417.3568	2483	5394	2855	2965	3100	3222	3313	3418	3505	3601	3714	3870	4071	4314	4505
173	3603.055	436.3675	2571	5529	2876	3002	3087	3249	3351	3442	3546	3659	3790	3920	4150	4397	4628
174	3627.752	431.2775	2634	5147	2885	3001	3110	3242	3370	3478	3592	3703	3822	3970	4237	4442	4535
175	3647.199	409.83	2527	5230	2924	3048	3153	3315	3422	3518	3601	3703	3809	3951	4192	4392	4509
176	3717.794	447.1165	2742	6147	2955	3086	3201	3343	3465	3570	3679	3784	3902	4036	4268	4512	4674
177	3696.408	411.4394	2722	5795	2992	3095	3215	3337	3450	3553	3649	3769	3875	4022	4223	4411	4581
178	3736.866	435.4138	2635	6244	2959	3097	3235	3388	3496	3599	3685	3784	3916	4050	4303	4486	4610
179	3766.997	412.701	2818	5492	3042	3163	3268	3412	3535	3625	3731	3829	3943	4105	4286	4519	4651
180	3818.59	460.6796	2885	6485	3093	3192	3308	3441	3539	3633	3745	3866	4000	4166	4429	4621	4829
181	3848.051	448.3687	2893	5820	3093	3212	3313	3468	3604	3697	3785	3896	4022	4199	4446	4643	4836
182	3877.502	422.4692	2877	5512	3174	3278	3384	3525	3615	3726	3814	3932	4053	4221	4450	4662	4805
183	3947.767	471.9155	2835	6132	3165	3268	3408	3557	3678	3781	3889	3996	4128	4297	4553	4838	4956
184	3956.677	453.0991	2821	6099	3178	3313	3428	3586	3692	3804	3908	4004	4146	4298	4537	4710	4933
185	4033.497	476.5115	2949	6251	3219	3358	3470	3637	3755	3874	3977	4104	4232	4368	4687	4894	5032
186	4037.223	474.4283	2849	6117	3248	3357	3488	3631	3744	3866	3999	4116	4232	4392	4654	4924	5054
187	4045.562	452.7769	2880	5866	3268	3367	3529	3667	3790	3896	4001	4117	4229	4378	4626	4874	5003
188	4092.194	475.1884	2868	6239	3260	3411	3539	3690	3824	3914	4026	4155	4301	4466	4727	4914	5060
189	4133.241	493.3863	3006	6229	3333	3462	3574	3727	3836	3959	4080	4180	4336	4478	4762	5065	5210
190	4170.625	480.5207	2875	6188	3379	3472	3602	3756	3886	4016	4119	4249	4373	4525	4787	5022	5232
191	4202.622	500.9655	3114	6748	3318	3503	3641	3789	3929	4031	4143	4248	4390	4563	4829	5121	5289
192	4260.491	505.3256	2968	6294	3417	3548	3689	3866	3977	4081	4175	4307	4463	4621	4944	5194	5367
193	4299.701	538.8352	3085	6738	3409	3570	3691	3861	3986	4099	4211	4347	4483	4701	5022	5308	5540
194	4277.827	495.9497	3234	6942	3485	3596	3713	3861	3997	4114	4206	4327	4479	4659	4904	5158	5310
195	4332.876	519.6741	3226	6592	3480	3613	3746	3883	4008	4144	4266	4388	4553	4739	4996	5215	5482
196	4398.253	532.077	3179	8147	3519	3658	3788	3962	4116	4216	4323	4457	4604	4779	5073	5357	5550
197	4404.898	520.4826	3090	7032	3509	3642	3813	4002	4122	4234	4347	4476	4606	4766	5032	5356	5526
198	4459.951	520.4209	3095	6934	3580	3745	3875	4023	4162	4282	4389	4506	4663	4851	5151	5425	5582
199	4485.403	547.2227	3128	7434	3611	3739	3887	4050	4178	4289	4400	4538	4698	4878	5165	5430	5738
200	4539.3	527.0669	3350	7515	3620	3769	3899	4096	4228	4365	4498	4633	4764	4958	5185	5496	5672
201	4575.336	541.7765	3276	6494	3700	3821	3909	4093	4249	4366	4504	4661	4815	5052	5303	5559	5700
202	4616.806	546.2819	3381	7201	3717	3860	4010	4174	4308	4414	4537	4674	4816	5004	5324	5620	5828
203	4615.741	529.6525	3398	7304	3688	3842	3979	4185	4307	4432	4562	4690	4829	5029	5317	5536	5677
204	4637.823	534.8322	3486	7351	3648	3877	4010	4192	4343	4447	4586	4711	4871	5037	5343	5588	5790
205	4706.027	543.2977	3533	7476	3791	3928	4090	4243	4379	4497	4631	4775	4933	5149	5440	5710	5866
206	4750.186	587.9859	3518	8720	3824	3963	4081	4253	4401	4546	4676	4828	4971	5174	5499	5825	5978
207	4820.251	581.2527	3446	7298	3850	3982	4131	4342	4479	4619	4742	4880	5046	5284	5562	5922	6124
208	4822.303	592.9344	3440	8398	3852	4012	4141	4330	4479	4624	4760	4886	5044	5231	5568	5890	6209
209	4811.282	576.2376	3577	7375	3873	3980	4161	4321	4461	4622	4741	4889	5051	5255	5510	5889	6105
210	4884.649	586.0828	3526	8633	3903	4062	4190	4407	4564	4680	4810	4954	5120	5339	5635	5899	6106
211	4957.892	609.0502	3583	7913	3964	4083	4225	4435	4632	4765	4875	5033	5222	5410	5754	6051	6248
212	4996.653	610.5338	3556	7468	4006	4133	4263	4476	4629	4777	4932	5074	5252	5456	5822	6073	6232
213	5022.049	626.5576	3723	7782	3969	4136	4256	4514	4672	4819	4933	5099	5263	5504	5845	6184	6432
214	5026.137	594.8152	3646	7884	4059	4185	4304	4543	4707	4823	4955	5092	5255	5486	5811	6049	6282
215	5093.325	624.6742	3576	7960	4103	4255	4385	4545	4712	4864	5006	5167	5324	5581	5894	6236	6554
