n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
103	340.9676	73.75911	202.7338	727.4263	231.5966	246.9656	261.3216	281.5937	297.212	311.498	327.9207	345.4982	363.2327	390.62	438.0685	483.9215	508.8526
104	348.4159	76.06907	204.4603	748.0294	229.5604	250.8107	265.8195	287.2455	304.4536	319.448	335.9524	353.6368	372.7573	399.2931	444.1824	496.7062	522.1638
105	348.6491	76.22672	195.5377	760.5143	230.404	250.12	266.8633	286.8397	302.5442	316.1519	333.8952	351.811	374.6572	406.6534	453.5229	495.306	518.2943
106	355.244	78.32466	209.838	765.0366	241.9669	256.1406	273.6366	294.749	309.6046	325.4243	341.0748	361.0111	379.8908	401.9577	447.7845	505.3919	544.8229
107	362.032	83.43393	212.0566	918.1062	239.9958	253.6277	277.1426	297.0909	313.3273	328.2027	347.9698	366.4001	387.4713	417.5632	463.9116	520.1394	559.4971
108	358.9494	79.2687	215.395	701.7635	237.9202	258.0678	270.664	290.4634	308.9272	325.9877	347.7672	366.1298	388.3645	415.5105	462.4197	506.2924	543.0285
109	365.1256	78.56615	213.6305	693.5568	247.0911	260.2864	275.8949	300.8422	320.5901	334.7925	350.2171	368.9038	389.9718	425.6712	473.8428	513.7061	541.8635
110	368.0082	81.11364	205.8835	816.989	242.1322	257.1439	277.8093	301.947	321.0421	337.6522	353.7556	373.1863	397.1989	428.0152	477.2871	517.0039	539.3987
111	376.7824	84.84989	214.0187	771.897	249.8179	267.8899	284.5154	305.272	325.2261	343.7368	360.2138	381.8324	406.9533	436.6944	493.3204	534.1769	570.5357
112	376.6417	82.23279	219.4083	728.0927	253.7853	268.788	286.9634	307.0423	325.5641	345.7832	364.571	382.8433	406.5046	435.1172	482.6541	527.7556	573.2896
113	380.0988	83.66676	191.1805	777.4169	253.9035	270.9631	289.4287	310.1806	330.3301	348.6402	367.6098	386.457	408.2707	435.9415	486.2448	536.9264	565.3114
114	383.7577	84.54137	205.195	749.2476	257.8527	273.9489	292.3919	313.7324	332.1069	348.8882	369.8162	392.2002	413.0775	443.8772	490.4641	541.1663	596.6557
115	387.688	91.08711	232.1077	983.265	259.2451	277.2165	292.6175	314.2324	332.3176	349.4224	368.4549	391.2327	412.6088	450.9812	509.4968	567.8688	607.6899
116	391.6534	82.29881	224.2343	783.6517	269.2879	285.9685	300.1116	322.7925	341.8699	358.2094	375.7433	397.8831	424.4161	452.1416	498.6351	546.808	582.2611
117	396.6577	86.19925	236.362	732.6664	265.3093	279.0806	299.7282	326.6007	343.6757	361.2714	380.6875	403.9332	430.8039	457.9596	507.7184	567.7737	600.0825
118	400.6739	92.83507	240.9378	800.3593	262.6747	281.2881	300.2216	326.2499	345.113	364.2389	382.161	403.6223	433.7615	463.6173	517.9768	567.6073	622.7078
119	402.0352	89.36621	243.2858	871.8102	271.3835	289.6066	306.031	328.4372	346.4462	366.295	387.9948	408.3761	434.152	464.9753	519.7971	563.8466	595.3554
120	406.5531	90.51343	245.0735	863.7216	277.3031	294.3603	311.0948	334.2679	350.6637	369.2939	387.8904	406.7395	433.8064	466.9861	533.226	585.8797	625.8666
121	415.5348	99.57892	221.3143	891.8952	271.3393	292.5577	311.127	339.8573	357.3262	376.6723	393.7398	413.785	441.5529	482.0124	553.4871	612.1413	662.8967
122	420.7402	101.5994	250.8466	955.9592	283.2825	301.2408	319.1927	338.4583	358.2443	378.996	396.5337	418.3742	446.446	496.4534	558.3771	614.1164	654.945
123	424.6896	98.14044	243.2838	961.6668	282.9028	301.7532	320.3092	345.9176	366.3591	385.3855	406.1724	431.9329	458.4583	490.3652	551.6702	606.6506	647.367
124	426.524	95.36875	240.8921	864.9214	283.0972	303.033	322.7073	349.2936	369.5646	389.09	408.5266	433.4097	455.6819	493.2859	556.0315	621.0467	655.8079
125	428.894	97.26403	243.5549	875.3993	281.773	303.0627	322.2034	346.9452	369.754	390.3396	414.4539	436.2935	462.5603	500.5787	562.642	607.2314	637.1381
126	435.7474	103.375	261.3599	1070.109	294.9068	307.7515	329.3342	354.2259	377.0438	394.8025	412.9261	434.2948	463.4372	501.7161	574.7669	634.4667	686.1334
127	437.8549	101.4793	244.7386	882.6528	287.3065	308.2321	327.0138	354.2386	376.2194	396.9282	419.8738	441.7839	472.0614	506.0237	571.7587	640.975	688.5543
128	443.5084	101.8298	253.4975	824.3015	290.1413	311.6954	331.4544	363.6331	384.4268	403.8589	423.1855	448.3704	478.6387	513.1686	576.2543	633.4224	697.6245
129	441.3252	96.92871	262.1088	935.0497	301.9768	319.2225	336.0223	361.389	380.3117	400.3473	420.8539	445.9204	474.604	510.1617	578.1254	628	658.1208
130	450.1156	106.141	247.9536	1056.643	300.6393	316.8407	337.2284	362.5783	384.5309	406.6104	429.7662	452	485.5502	527.2182	592.5774	650.4568	682.1144
131	451.7829	100.2466	273.2654	1003.757	308.7199	327.6935	346.6598	368.813	391.2889	410.7323	432.4997	455.9901	484.5431	520.0635	583.1141	643.4819	692.7287
132	457.2832	105.7399	266.6271	1040.979	310.287	325.4873	345.8815	373.4033	396.3029	415.78	434.9379	456.6049	489.7887	526.1654	600.6064	662.2545	687.1361
133	464.2911	109.6909	250.06	968.8225	310.1	327.9588	349.5726	375.124	399.0576	418.4985	442.242	467.0792	499.2094	536.6656	608.6206	678.894	717.8328
134	464.3514	102.04	278.2283	966.3845	316.5233	336.2499	353.9308	378.4138	402.6785	424.9	447.8649	467.5703	499.2975	534.3033	602.3794	671.0559	702.8336
135	466.4632	102.5916	246.3392	929.6091	308.3099	330.0303	349.0817	383.1945	404.2437	424.6563	450.1355	476.677	503.3617	544.9027	603.0406	661.4862	702.8435
136	470.226	109.768	268.7638	1043.115	309.9355	333.8907	355.2253	385.0416	405.1271	426.6626	446.0594	469.7851	503.9395	543.4455	612.8173	692.2485	737.8753
137	478.7051	110.6015	263.4407	1000.757	317.4539	338.2277	357.4073	389.2968	412.4573	435.4894	458.4561	487.7786	516.6449	554.1687	619.7943	689.4041	734.7775
138	476.242	103.406	276.3567	955.0005	320.6291	341.687	362.6541	391.3004	410.7335	434.4341	461.6265	482.7598	509.8284	556.2293	614.8675	670.4185	714.2675
139	482.0383	113.6567	270.5882	1047.062	316.4459	336.0327	360.7963	392.7378	415.0687	432.814	457.0547	488.2786	520.8992	563.9601	630.2436	702.8912	738.1829
140	491.3465	114.6156	289.4598	1039.303	326.974	352.5663	371.2183	404.5046	423.306	444.4851	463.6356	490.149	527.1034	571.6441	636.788	716.0077	785.3388
141	487.9604	109.8131	260.2134	1068.882	315.4806	346.3062	366.2008	399.4747	425.0482	446.4583	468.2403	493.6669	524.7685	565.322	636.0142	697.8101	737.6239
142	501.684	118.7947	265.4091	1039.297	326.2668	350.2827	373.0442	402.4376	428.5417	455.0176	478.5687	509.3623	537.0093	582.6036	661.9781	732.4275	771.0687
143	501.3669	113.9779	295.1457	1072.991	339.0118	355.2759	376.6324	407.4199	433.2851	457.5183	477.8964	504.8069	535.9198	583.8287	656.0907	714.6307	779.308
144	506.8164	116.9402	296.6766	1116.867	337.7307	350.3869	381.08	410.039	435.0747	463.9353	484.8701	515.717	545.8809	589.9983	657.4762	729.9842	779.3581
145	511.2314	116.6248	279.0251	1178.34	336.351	358.7422	384.0143	420.0417	444.1666	464.6246	487.0329	515.3232	547.4048	592.2516	677.319	737.6083	777.9087
146	515.3206	119.8243	288.3748	1049.248	350.1257	367.4915	386.5126	418.9678	441.1598	466.089	490.4437	516.7795	548.3831	605.0926	682.9824	765.4397	792.3326
147	510.5688	115.03	283.4625	1005.298	352.1662	370.7627	387.2725	415.7343	436.8547	460.301	485.5996	518.0975	547.7436	600.6164	661.8867	738.1863	785.9784
148	520.3397	112.8791	301.2341	1098.447	349.1919	368.6109	390.5522	426.7927	449.8589	480.1843	506.5402	535.7686	564.0488	597.5751	654.2599	728.7695	773.0116
149	518.4409	116.6355	296.8602	1278.389	346.9424	371.0782	389.036	421.3894	450.9623	475.6564	494.1305	524.0611	554.6909	611.915	676.5464	734.7292	769.494
150	526.1426	124.8069	313.0894	1294.785	345.8352	370.2378	393.0229	426.7107	452.5086	479.652	505.0366	530.4027	561.5924	606.3712	682.6917	756.3961	837.5428
151	528.3935	119.4239	304.2318	1066.471	346.0939	373.9853	401.5271	434.7942	460.125	482.6096	504.467	530.299	566.1281	606.4965	688.3887	766.8057	818.5328
152	535.3518	123.8562	289.0882	1249.991	357.021	381.6779	408.4948	439.2494	461.0868	484.4657	513.5124	540.1398	569.7263	612.8368	702.3938	775.1019	830.8454
153	542.4994	125.6703	278.9086	1142.84	362.4514	385.3479	406.2487	437.8242	469.113	492.997	521.6014	548.2034	578.473	631.8101	712.5868	781.8453	843.1495
154	550.1318	132.6585	304.9705	1283.157	350.1628	380.6114	404.2153	441.7318	471.8591	498.1767	528.0597	555.2891	592.0177	645.193	726.1074	794.5697	853.1284
155	540.1418	133.1971	327	1411.853	351.1239	377.3606	404.287	437.3397	463.4598	489.4446	511.6131	535.7901	572.6185	627.5046	709.919	796.675	853.6299
156	552.8721	130.5011	309.3897	1285.718	365.0794	387.7061	412.4051	447.3477	474.5493	502.1912	530.1358	557.827	590.2737	644.1894	730.4334	806.5612	849.9835
157	545.2798	119.2497	311.4001	1197.757	371.3179	393.8629	412.5021	447.7332	473.0254	500.3169	521.4068	550.3799	583.8784	632.5306	704.5012	766.5742	807.5791
158	551.803	127.8246	315.8734	1213.854	363.4969	391.0869	417.0168	449.3117	474.8737	500.4118	530.1245	552.4907	585.0872	646.8106	723.2379	790.7737	845.0266
