n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
106	4548.355	108.56	4107	4833	4273	4337	4403	4468	4505	4535	4563	4586	4612	4636	4673	4698	4711
107	4639.22	109.6052	4152	4895	4354	4448	4496	4557	4594	4627	4656	4676	4701	4727	4768	4794	4811
108	4734.03	114.7237	4225	5045	4439	4527	4587	4646	4686	4721	4750	4777	4802	4830	4865	4891	4905
109	4813.937	117.0644	4353	5094	4504	4593	4660	4730	4772	4803	4827	4853	4882	4910	4949	4976	4995
110	4916.073	114.2629	4407	5228	4628	4714	4762	4827	4865	4901	4932	4955	4982	5012	5048	5076	5096
111	5003.523	122.7155	4487	5323	4701	4770	4841	4914	4951	4981	5010	5045	5077	5110	5153	5178	5193
112	5093.619	123.1192	4503	5413	4790	4859	4939	5004	5041	5076	5110	5140	5168	5196	5235	5261	5278
113	5188.309	121.7968	4620	5461	4877	4969	5026	5098	5139	5170	5201	5234	5259	5289	5330	5355	5373
114	5286.645	124.3833	4773	5555	5008	5059	5120	5191	5233	5270	5296	5324	5358	5390	5438	5472	5484
115	5378.932	124.8905	4848	5658	5064	5160	5214	5283	5323	5357	5390	5421	5454	5484	5526	5559	5580
116	5481.664	131.9037	4884	5827	5157	5234	5309	5385	5427	5462	5499	5527	5563	5594	5630	5664	5681
117	5577.241	127.7418	4921	5896	5252	5325	5415	5487	5531	5562	5591	5623	5650	5679	5723	5753	5769
118	5675.468	133.1265	4987	6002	5335	5429	5509	5580	5626	5661	5693	5721	5751	5785	5827	5858	5875
119	5774.899	129.2599	5028	6051	5464	5535	5599	5681	5721	5758	5789	5816	5849	5882	5925	5962	5978
120	5875.529	130.1895	5296	6194	5539	5640	5705	5782	5823	5857	5892	5922	5947	5978	6029	6065	6082
121	5969.128	145.7222	5376	6348	5614	5699	5779	5858	5910	5947	5985	6017	6053	6096	6137	6172	6201
122	6071.854	149.0603	5168	6409	5691	5788	5882	5968	6022	6053	6087	6122	6154	6193	6242	6279	6308
123	6178.675	141.3867	5562	6517	5853	5915	5990	6070	6116	6157	6192	6226	6260	6300	6348	6387	6408
124	6278.198	145.9185	5535	6610	5943	5999	6083	6167	6225	6263	6291	6329	6365	6397	6444	6489	6506
125	6386.699	147.8539	5744	6815	6026	6116	6200	6269	6325	6370	6401	6436	6468	6508	6564	6595	6621
126	6486.456	151.1595	5861	6860	6098	6191	6294	6374	6428	6469	6506	6540	6571	6611	6655	6693	6721
127	6594.376	157.9929	5936	6952	6204	6293	6390	6470	6532	6574	6612	6654	6685	6726	6776	6824	6842
128	6706.978	148.7568	6121	7029	6350	6448	6508	6583	6642	6684	6726	6756	6794	6836	6888	6921	6941
129	6810.244	160.6809	5966	7178	6410	6508	6608	6700	6744	6791	6832	6865	6903	6946	6990	7020	7055
130	6924.766	160.5951	6316	7286	6505	6618	6719	6802	6856	6906	6942	6982	7017	7059	7112	7149	7172
131	7028.205	158.8502	6375	7388	6646	6746	6820	6910	6955	6996	7043	7089	7121	7160	7217	7262	7287
132	7139.263	158.4851	6496	7503	6747	6868	6928	7011	7070	7117	7160	7197	7233	7272	7319	7364	7390
133	7244.466	171.7185	6339	7655	6789	6949	7027	7111	7178	7224	7267	7304	7342	7390	7442	7485	7502
134	7373.218	168.0026	6530	7741	6939	7069	7166	7250	7306	7351	7394	7431	7467	7514	7567	7607	7633
135	7472.644	170.1599	6481	7856	7035	7151	7252	7353	7408	7450	7490	7529	7570	7615	7661	7710	7727
136	7583.884	180.7108	6781	7989	7123	7257	7346	7439	7516	7568	7614	7649	7691	7733	7787	7824	7860
137	7705.544	179.4858	6669	8126	7250	7384	7477	7574	7631	7679	7731	7775	7809	7852	7909	7956	7982
138	7824.881	182.9624	7101	8236	7379	7481	7580	7679	7757	7809	7851	7894	7934	7975	8028	8075	8102
139	7941.846	179.4186	7151	8365	7510	7617	7699	7801	7868	7920	7968	8008	8042	8087	8150	8194	8219
140	8055.972	192.6522	7155	8533	7547	7684	7806	7918	7983	8044	8080	8128	8173	8213	8269	8311	8338
141	8170.451	189.5141	7188	8724	7668	7826	7939	8041	8099	8147	8192	8232	8280	8322	8382	8428	8453
142	8289.768	192.8335	7438	8735	7789	7903	8037	8148	8214	8269	8317	8359	8408	8452	8503	8548	8576
143	8422.684	188.7029	7589	8866	7958	8094	8173	8277	8353	8402	8445	8493	8531	8577	8637	8683	8713
144	8533.548	201.8179	7595	9004	7996	8145	8266	8396	8462	8518	8561	8609	8644	8686	8763	8816	8846
145	8643.045	200.5323	7804	9096	8124	8272	8371	8491	8559	8619	8672	8718	8766	8809	8874	8927	8951
146	8778.164	213.1854	7704	9296	8247	8379	8490	8612	8693	8765	8815	8859	8907	8952	9008	9061	9099
147	8894.977	209.8112	7893	9417	8369	8497	8618	8735	8808	8867	8917	8967	9012	9073	9131	9189	9225
148	9021.022	206.4647	8195	9480	8512	8633	8742	8860	8936	8996	9057	9095	9139	9196	9253	9314	9339
149	9161.689	204.0794	8309	9676	8636	8784	8892	9009	9079	9139	9187	9232	9273	9327	9393	9448	9489
150	9260.951	222.7282	8244	9743	8650	8880	8985	9098	9176	9232	9288	9334	9391	9447	9510	9567	9587
151	9401.496	204.8578	8536	9895	8853	9029	9117	9248	9331	9385	9433	9473	9508	9562	9638	9697	9730
