n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
93	1946520	23266.05	1850319	1996418	1890075	1903591	1915120	1928509	1936272	1944363	1950897	1955916	1960190	1966215	1972939	1977869	1980598
94	2033462	22088.98	1940213	2084786	1976848	1992302	2004013	2016460	2024836	2030785	2037230	2042254	2047296	2051755	2056865	2063824	2066681
95	2122985	23004.25	1999267	2172230	2067964	2081065	2091925	2105702	2114182	2120427	2126199	2130378	2136138	2142043	2149280	2154189	2157247
96	2214732	24484.23	2055781	2261681	2153470	2169851	2183826	2196596	2205159	2212298	2218410	2223486	2229677	2234816	2242405	2247304	2250291
97	2310523	24322.75	2177514	2371924	2249370	2266638	2280089	2293345	2300860	2307935	2314371	2319637	2324553	2330445	2336749	2341956	2346022
98	2407122	25630.65	2248635	2466966	2340601	2362728	2374381	2389166	2397663	2404556	2411124	2416777	2422497	2428218	2435745	2439924	2443199
99	2511046	25781.18	2363279	2573245	2449397	2460487	2478082	2491998	2501110	2508742	2515049	2520498	2526299	2531893	2539838	2546246	2549931
100	2614731	26576.27	2457302	2671534	2545913	2565561	2581299	2594926	2604034	2611848	2618614	2624331	2630769	2636596	2644517	2650929	2653655
101	2722110	28536.84	2541108	2783304	2649538	2670681	2685134	2700730	2711201	2719172	2726089	2732463	2739192	2746321	2754401	2760926	2764168
102	2833516	29089.16	2697967	2905082	2755961	2782239	2795049	2812205	2821512	2830993	2839082	2844738	2850669	2857321	2865844	2873294	2875572
103	2947756	29473.85	2777574	3006114	2874952	2894192	2908828	2926164	2936482	2944664	2951922	2958934	2965199	2972327	2980548	2987709	2991495
104	3064925	31911.58	2925241	3126565	2976649	3005946	3023729	3041172	3053833	3061739	3069196	3075802	3083807	3091576	3101917	3109052	3113412
105	3186378	31612.26	3027631	3256474	3107579	3125684	3146038	3160955	3173532	3183756	3190961	3198763	3205787	3212888	3221835	3229026	3234083
106	3313466	31924.14	3175413	3379143	3234895	3253304	3270995	3287949	3301304	3309836	3318040	3325402	3332874	3341099	3348871	3356184	3360876
107	3439469	34144.1	3251640	3516682	3355547	3373001	3395707	3414139	3426630	3436848	3445124	3451421	3459076	3467749	3478488	3485218	3488990
108	3573105	32793.44	3428976	3654092	3493173	3510898	3530643	3548872	3559993	3568528	3577004	3583548	3592735	3600536	3610984	3620449	3624756
109	3707079	35248.6	3568238	3777140	3619548	3641915	3660656	3678244	3692324	3703042	3712028	3719590	3728567	3737625	3748032	3756504	3762168
110	3848548	35485.05	3687933	3926174	3760149	3781284	3802300	3822325	3835525	3846136	3853188	3861125	3868586	3877781	3889317	3897261	3902265
111	3994446	35505.72	3702705	4072741	3907131	3928562	3947823	3966888	3980391	3991017	3999170	4008252	4016115	4023211	4034235	4042689	4045915
112	4139317	39769.64	3915486	4218941	4041297	4068201	4090643	4108584	4124638	4135637	4145385	4153156	4162375	4171928	4183551	4192789	4198878
113	4293511	40699.96	4050236	4379172	4179861	4216462	4241957	4264723	4280564	4290733	4299976	4308889	4317064	4326282	4336892	4346463	4351680
114	4448885	40950.03	4257948	4541101	4340963	4377404	4396188	4418643	4433293	4444326	4454587	4463688	4472782	4482492	4494020	4503863	4512163
115	4607481	40473.27	4406852	4686401	4514715	4534132	4551178	4575736	4589460	4602166	4614229	4623255	4632344	4641438	4654938	4663138	4667749
116	4774274	42476.02	4522730	4865658	4664244	4698848	4719805	4741087	4759405	4770712	4781059	4789690	4798518	4807952	4822082	4832418	4840002
117	4942284	42013.31	4665534	5032910	4843367	4864839	4885947	4909900	4925061	4936727	4947689	4958207	4967829	4977129	4989136	5001006	5007943
118	5116458	44750.81	4937916	5214189	5002818	5038280	5055469	5079612	5097248	5110203	5122517	5131917	5144727	5154634	5167811	5178452	5185678
119	5292799	46457.05	5058405	5390178	5173010	5204792	5231481	5258482	5275544	5288965	5300950	5310199	5319832	5331604	5344654	5354941	5362740
120	5475177	47009.6	5217581	5577171	5356143	5390711	5414668	5437758	5455679	5469365	5481104	5492537	5504652	5515191	5527883	5539175	5544678
121	5663063	49754.76	5411745	5752846	5530737	5571128	5598924	5627572	5644369	5658866	5671150	5681485	5692340	5705018	5717723	5728171	5733274
122	5855971	49591.69	5621712	5969709	5733213	5763732	5791394	5817175	5835430	5851568	5862991	5874231	5883774	5896489	5913291	5924077	5930458
123	6051090	54104.05	5699602	6149981	5917437	5954015	5982709	6012763	6029671	6045173	6059583	6072415	6083006	6096195	6112311	6120594	6127260
124	6253351	52349.01	6024781	6364722	6121224	6153265	6183257	6213717	6232747	6247606	6261225	6273888	6284615	6296294	6311856	6321032	6332158
125	6461618	54657.7	6231698	6579546	6319734	6358592	6385097	6421018	6441930	6457317	6468250	6479149	6493578	6508319	6525984	6536401	6543870
126	6671782	56155.37	6293249	6784224	6526769	6565247	6598584	6630958	6650510	6667290	6680609	6693473	6704616	6717107	6734027	6747314	6755771
127	6889040	57296.89	6618598	7007886	6748603	6783384	6812763	6845068	6869375	6882135	6898658	6910689	6922941	6937878	6953144	6967191	6973973
128	7110417	56494.68	6878946	7221481	6963213	7014211	7035336	7063582	7086449	7102773	7118181	7131671	7144242	7158510	7177845	7191498	7196627
129	7340404	59403.19	7083680	7469839	7188905	7229786	7262385	7294374	7318241	7336644	7348935	7362470	7375354	7388804	7405125	7422367	7429519
130	7574641	58867.39	7312711	7688881	7427334	7466046	7495327	7532241	7552750	7568046	7581821	7596050	7610099	7624620	7640819	7654014	7660960
131	7812106	62343.54	7547023	7929270	7640991	7688318	7733069	7766314	7789355	7807514	7821684	7833738	7848867	7862931	7880587	7895032	7904946
132	8056456	62798.54	7767243	8225527	7899347	7936405	7974403	8010411	8031978	8050003	8064264	8079758	8093513	8107903	8128826	8142181	8149170
133	8303475	66617.12	7899848	8432928	8122450	8184048	8223270	8254306	8282855	8300128	8312859	8327229	8340124	8358212	8376019	8389587	8398679
134	8562404	63988.25	8287625	8701932	8391862	8447958	8477676	8515644	8537182	8557577	8573230	8586100	8601048	8613656	8633226	8647254	8656599
135	8820476	66938.21	8528214	8975643	8654831	8697042	8732363	8771007	8795915	8814005	8830227	8846496	8859522	8875095	8895915	8910585	8919108
136	9088430	68576.54	8683415	9235879	8910551	8967626	9000734	9036407	9059986	9082334	9097118	9112797	9127758	9143327	9169711	9185153	9193346
