n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
93	1946570	21491.45	1765033	1987674	1887475	1909768	1920806	1932051	1939460	1945438	1949911	1954605	1959089	1963241	1968285	1973996	1976396
94	2033168	21636.93	1925005	2077439	1979014	1992444	2002791	2019015	2026233	2032869	2037156	2041650	2045512	2050399	2056631	2060870	2063281
95	2121070	22552.32	1982438	2169755	2059981	2079473	2091208	2105174	2112982	2119786	2125104	2129402	2134348	2139368	2145372	2150635	2152952
96	2214466	22293.06	2113668	2257018	2153969	2171815	2184554	2198820	2205263	2212888	2218157	2223045	2227986	2233538	2239174	2243827	2246038
97	2308978	24214.44	2147361	2353663	2240669	2266331	2279695	2292841	2300658	2307966	2312886	2318050	2323277	2328159	2334494	2339943	2342668
98	2407877	24418.32	2271775	2456923	2340535	2363518	2377852	2391135	2398449	2405138	2411536	2416781	2422538	2427413	2435291	2440499	2443851
99	2510067	25305.82	2370450	2561195	2446126	2462203	2477009	2493256	2501336	2507814	2514190	2519947	2524696	2531077	2537810	2542011	2544956
100	2614644	25797.07	2484276	2660224	2542716	2563010	2580765	2597075	2607198	2613875	2619659	2624763	2630130	2635403	2641100	2646071	2650079
101	2721973	27065.57	2599456	2778784	2650073	2671106	2686078	2702070	2711564	2718725	2726670	2733275	2738574	2744715	2751542	2755970	2760073
102	2832650	28965.24	2634794	2890895	2756515	2776843	2794953	2812768	2822755	2831812	2838102	2844472	2849773	2856233	2863123	2869123	2872527
103	2946887	30014.35	2807921	2998750	2863347	2893158	2908933	2924430	2937138	2944923	2952554	2958858	2965103	2971606	2978907	2985486	2988553
104	3065286	28458.72	2900807	3123410	2994628	3014944	3027301	3045203	3054655	3062566	3069559	3075214	3081927	3089157	3097446	3103569	3106207
105	3189064	28455.18	3010970	3244406	3111703	3137064	3153611	3168463	3178905	3186201	3192975	3199792	3206343	3213364	3220343	3225860	3229091
106	3312482	30506.76	3063261	3369106	3235841	3255300	3274278	3291514	3302282	3310427	3318201	3324274	3329400	3336792	3344610	3351315	3354282
107	3441565	33017.31	3189949	3507361	3354366	3380284	3400987	3419286	3430364	3440502	3447382	3453882	3460311	3467922	3477037	3482138	3485313
108	3572399	33638.34	3365862	3634308	3481961	3510144	3530419	3548971	3561649	3570000	3577743	3584918	3592246	3599424	3609049	3615005	3618159
